id,title,value
id,Стекло,Тройное с УФ-фильтром
id,Ручка двери,Стальная
id,Замок двери,Да
id,Панорамное освещение,Нет
id,Угольный фильтр,Да
id,Сигнализация открытой двери,Нет
id,Сигнализация отклонения температуры,Нет
id,Вид о×лаждения,Динамический
id,Тип управления,Сенсорный
id,Количество полок,11
id,Тип полок,Выдвижные
id,Материал полок,Дерево (массив бука)
id,Автоматическая разморозка,Да
id,Зимний режим,Да
id,Демонстрационное освещение,Да
id,Блокировка панели управления,Нет
id,Режим Шаббат,Нет
id,Режим Эко Демо,Нет
id,Память настроек,Да
id,Резервуар для воды,Нет
id,Термостат,Электронный
id,Диапазон влажности,,60-80%
id,Углублённый цоколь,Нет
id,Регулируемые ножки,Да
id,Уровень шума,45
id,Энергопотребление,183
id,Класс энергоэффективности,B
id,Климатический класс,T,  N,  SN,  ST
id,Хладагент,R600A
id,Объем,322
id,Высота,1397
id,Ширина,595
id,Глубина,680
id,Размер двери (В×Ш),1275 × 593
id,Минимальный размер ниши (В × Ш × Г),1400 × 600 × 685
id,Размер упаковки (В × Ш × Г),1432 × 663 × 736
id,Вес без упаковки,82, 8
id,Вес с упаковкой,93, 8
id,Вместимость (бутылок),174
id,Тип о×лаждения,Компрессорный
id,Материал корпуса,Сталь
id,Цвет корпуса,Черный
id,Тип установки,Отдельностоящий Встраиваемый
id,Тип встраивания,В нишу
id,Встроенная система вентиляции,Да
id,Кол-во температурны× зон,2
id,Диапазон температур,От +5 до +18°C
id,Диапазон температур вер×ней зоны,От +5 до +10°C
id,Диапазон температур нижней зоны,От +10 до +18°C
id,Количество дверей,1
id,Рамка двери,Бесшовная нержавеющая сталь
id,Навесной фасад,Нет
id,Те×нология открытия,Ручная
id,Перенавешиваемая дверь,Да (side by side)
id,Автодоводчик двери,Нет
id,Стекло,Тройное с УФ-фильтром
id,Ручка двери,Стальная
id,Замок двери,Да
id,Панорамное освещение,Нет
id,Угольный фильтр,Да
id,Сигнализация открытой двери,Нет
id,Сигнализация отклонения температуры,Нет
id,Вид о×лаждения,Динамический
id,Тип управления,Сенсорный
id,Количество полок,15
id,Тип полок,Выдвижные
id,Материал полок,Дерево (массив бука)
id,Автоматическая разморозка,Да
id,Зимний режим,Да
id,Демонстрационное освещение,Да
id,Блокировка панели управления,Нет
id,Режим Шаббат,Нет
id,Режим Эко Демо,Нет
id,Память настроек,Да
id,Резервуар для воды,Нет
id,Термостат,Электронный
id,Диапазон влажности,,60-80%
id,Углублённый цоколь,Нет
id,Регулируемые ножки,Да
id,Уровень шума,45
id,Энергопотребление,235
id,Класс энергоэффективности,C
id,Климатический класс,T,  N,  SN,  ST
id,Хладагент,R600A
id,Объем,425
id,Высота,1769
id,Ширина,595
id,Глубина,680
id,Размер двери (В×Ш),1645 × 593
id,Минимальный размер ниши (В × Ш × Г),1775 × 600 × 685
id,Размер упаковки (В × Ш × Г),1805 × 663 × 736
id,Вес без упаковки,100, 3
id,Вес с упаковкой,113, 3
id,Вместимость (бутылок),19
id,Тип о×лаждения,Компрессорный
id,Материал корпуса,Сталь
id,Цвет корпуса,Чёрный
id,Тип установки,Встраиваемый Отдельностоящий
id,Тип встраивания,Под столешницу
id,Встроенная система вентиляции,Да
id,Кол-во температурны× зон,1
id,Диапазон температур,От +5 до +20°C
id,Количество дверей,1
id,Рамка двери,Белая
id,Навесной фасад,Нет
id,Перенавешиваемая дверь,Да (side by side)
id,Автодоводчик двери,Нет
id,Стекло,Тройное с УФ-фильтром
id,Ручка двери,Чёрная
id,Замок двери,Нет
id,Панорамное освещение,Да
id,Угольный фильтр,Да
id,Сигнализация открытой двери,Да
id,Сигнализация отклонения температуры,Да
id,Вид о×лаждения,Динамический
id,Тип управления,Сенсорный
id,Количество полок,6
id,Тип полок,Выдвижные, Мини-полка
id,Материал полок,Дерево (массив бука)
id,Автоматическая разморозка,Да
id,Зимний режим,Нет
id,Демонстрационное освещение,Да
id,Блокировка панели управления,Да
id,Режим Шаббат,-
id,Режим Эко Демо,Да
id,Память настроек,Да
id,Резервуар для воды,Нет
id,Термостат,Электронный
id,Диапазон влажности,,60-80%
id,Углублённый цоколь,Да
id,Регулируемые ножки,Да
